sequenceID,genotype,subtype
AB074915,4,c
AB108537,4,g
AB197673,4,a
AB220974,4,f
AB248521,3,e
AB290312,3,-
AB290313,3,-
AB369687,3,f
AB369688,4,-
AB369689,3,-
AB573435,5,a
AB602441,6,a
AB856243,6,-
AF082843,3,a
AF455784,3,g
AJ272108,4,d
AP003430,3,b
AY115488,3,j
AY204877,1,e
AY230202,1,d
AY723745,4,e
D11092,1,b
DQ279091,4,b
DQ450072,4,i
EU360977,3,-
EU723513,3,f
FJ457024,1,-
FJ705359,3,c
FJ906895,3,ra
FJ998008,3,i
GU119961,4,h
JF443721,1,f
JQ013791,3,ra
JQ013794,3,h
JQ953664,3,-
KJ013415,3,ra
KJ496143,7,a
KJ496144,7,-
KJ873911,3,-
L08816,-,-
M73218,1,a
M74506,2,a
X98292,1,c

